result,message
大吉,大吉だよ！！今なら人生なんでも上手くいくよ！！！！（多分）
中吉,何かいいことが起きる予感。人生楽しもうぜ。
小吉,君に小さな幸せが訪れますように。
吉,まあ、悪くないね。普通の日常が幸せだよ。
末吉,何か悪いことが起きるかも？警戒しておいて損はないね。
凶,Badfeeling...
大凶,何もかも上手くいかないかも。こういう日もあるって割り切ろうぜ。
大吉,調子に乗るなよ。
吉,まあまあな日を送れる日々が幸せだよ。
凶,日常生活に支障が出るレベルで運が悪いかも。
大吉,恋人ができます！！！！！！！！！（多分）
大大大凶,全ての努力が泡になるよ。
中吉,今日も平和だね。
大凶,世の中顔だよ。
半吉,ちょっとした幸せが見つかるかも。
末小吉,小さなラッキーが待っているよ。
大吉,運気が絶好調！思い切って挑戦しよう！
中吉,新しいことにチャレンジするのに良い日だよ。
小吉,落ち着いて物事を進めれば、うまくいくよ。
末吉,小さな努力が大きな成果をもたらすよ。
凶,注意深く行動してね。困難を乗り越える力が試されるよ。
大凶,気をつけて行動しよう。辛抱強く乗り越えてね。
吉,心を落ち着けて過ごせば、良いことがあるよ。
半吉,焦らずに行動すれば、結果はついてくるよ。
末小吉,身近な幸せに気づく日になるかも。
大吉,素晴らしい一日が待っているよ！
中吉,計画的に行動すれば、良い結果が出るよ。
小吉,友達と過ごすと楽しいことがあるよ。
末吉,一歩ずつ進めば、目標に近づくよ。
凶,忍耐が必要な日かもしれないけど、頑張ってね。
大凶,今日は無理せず、リラックスしよう。
吉,ちょっとしたラッキーが訪れるよ。
半吉,小さな成功が積み重なるよ。
末小吉,身の回りの小さな幸せに感謝しよう。
大吉,運勢は最高！大胆に行動しよう。
中吉,新しい挑戦が良い結果をもたらすよ。
小吉,小さな一歩が大きな成果に繋がるよ。
末吉,ゆっくりと進めば、道は開けるよ。
凶,慎重に行動して、困難を乗り越えよう。
大凶,辛抱強く、明日を待とう。
吉,穏やかに過ごせば、良いことがあるよ。
半吉,焦らず一歩ずつ進もう。
末小吉,小さな喜びを見つける日だよ。
大吉,今日の運勢は絶好調！何でもうまくいくよ。
中吉,計画をしっかり立てて、行動しよう。
小吉,友人との時間が幸せをもたらすよ。
末吉,地道な努力が実を結ぶよ。
大吉,新しい出会いが待っているよ。
中吉,周りの人に感謝すると良いことがあるよ。
小吉,ちょっとした冒険が楽しい結果をもたらすよ。
末吉,今日の努力が未来の成果につながるよ。
凶,無理せず、自分のペースで進もう。
大凶,今は辛抱の時期。ゆっくり休もう。
吉,心を穏やかに保てば、良いことがあるよ。
半吉,小さな目標を達成しよう。
末小吉,今日は自分にご褒美をあげよう。
大吉,思い切って行動すれば、運気が味方するよ。
中吉,新しい趣味を始めると良いことがあるよ。
小吉,小さな変化が大きな幸せをもたらすよ。
末吉,一歩ずつ前進しよう。
凶,今日は無理をせず、リラックスしよう。
大凶,自分を大切にすることが大事な日。
吉,ちょっとした親切が幸せを呼ぶよ。
半吉,小さなステップが大きな成果を生むよ。
末小吉,身近な人と楽しい時間を過ごそう。
大吉,大胆な決断が良い結果を生むよ。
中吉,友人との時間が心を豊かにするよ。
小吉,今日は笑顔を心がけよう。
末吉,努力が実る日になるよ。
凶,落ち着いて行動すれば、大丈夫。
大凶,慎重に行動し、自己管理を大切に。
吉,小さな幸せが見つかる日。
半吉,小さな目標を設定しよう。
末小吉,リラックスして過ごそう。
大吉,新しいチャレンジが良い結果をもたらすよ。
中吉,周囲の人と協力することで良い結果が出るよ。
小吉,小さな幸せに感謝しよう。
末吉,少しずつ前進しよう。